"species","thr10","thr_min"
"Myrciaria_tenella",0.352141306861334,0.187452049094725
"Myrocarpus_frondosus",0.333705112530797,0.123199692272776
"Myrrhinium_atropurpureum",0.293274805951337,0.0510534253520767
"Myrsine_coriacea",0.298923067355226,0.0179575551805189
"Myrsine_gardneriana",0.271614614560139,0.0164292768510508
"Myrsine_guianensis",0.300720827960574,0.027420055518747
"Myrsine_hermogenesii",0.412173308211345,0.111912792492233
"Myrsine_laetevirens",0.239476105208591,0.147589530863918
"Myrsine_lancifolia",0.30463971755566,0.137765740194485
"Myrsine_lineata",0.167965430802105,0.0804473544428171
"Myrsine_loefgrenii",0.436672147499362,0.157409479993534
"Myrsine_parvifolia",0.139266641539581,0.00289542898563488
"Myrsine_parvula",0.38697225280114,0.0149176318845835
"Myrsine_umbellata",0.414153190209076,0.170004049338303
"Myrsine_venosa",0.307719302205762,0.0981969589056025
"Nectandra_angustifolia",0.261971137575276,0.0833169669575721
"Nectandra_grandiflora",0.379066710215156,0.0313640931258457
"Nectandra_lanceolata",0.276494159167845,0.0344135907551819
"Nectandra_leucantha",0.287928307131203,0.0493265128736712
"Nectandra_megapotamica",0.358769550031773,0.0362611861054302
"Nectandra_membranacea",0.268233913125074,0.0629430539175223
"Nectandra_oppositifolia",0.307644369503347,0.0777450036991961
"Nectandra_puberula",0.36034872100716,0.0273567292454646
"Neomitranthes_gemballae",0.428409023594911,0.0486131752786531
"Neomitranthes_glomerata",0.289450518960034,0.0230271395137329
"Ocotea_aciphylla",0.332657623712571,0.118797023545389
"Ocotea_bicolor",0.249970950946816,0.0241612483678729
"Ocotea_catharinensis",0.338517877068264,0.244480371001682
"Ocotea_corymbosa",0.333865089225899,0.0441923028527139
"Ocotea_daphnifolia",0.201781804855071,0.0540736754086935
"Ocotea_diospyrifolia",0.383028695241936,0.232313967884339
"Ocotea_dispersa",0.292926585517503,0.134936614236686
"Ocotea_glaziovii",0.276101353121532,0.0635309218895766
"Ocotea_indecora",0.437147028404109,0.250615483643373
"Ocotea_lanata",0.38378982215862,0.0690658951794195
"Ocotea_lancifolia",0.415201925781581,0.125505282187187
"Ocotea_laxa",0.362423664472929,0.0836035542624107
"Ocotea_lobbii",0.38633849780928,0.0303538096365788
"Ocotea_mandioccana",0.311734652752695,0.134993135520681
"Ocotea_marumbiensis",0.484226541709105,0.464609789858173
"Ocotea_nectandrifolia",0.409984491997177,0.10073456314616
"Ocotea_nunesiana",0.421497874746323,0.309944350005851
"Ocotea_nutans",0.273298877311992,0.0625301911078575
"Ocotea_odorifera",0.293442863586205,0.0859765165948463
"Ocotea_paranaensis",0.348531367746397,0.32210051587766
"Ocotea_porosa",0.285297212811617,0.0135501228156807
"Ocotea_puberula",0.326144692700656,0.118294276810044
"Ocotea_pulchella",0.367361919784512,0.0706919318817007
"Ocotea_pulchra",0.229207519404665,0.0418541613919629
"Ocotea_silvestris",0.398387977279645,0.243075207808568
"Ocotea_teleiandra",0.269899179350758,0.0221443668333283
"Opuntia_monacantha",0.217121109534476,0.00630935583828013
"Oreopanax_fulvus",0.217603147109855,0.0543957123532101
"Ormosia_arborea",0.373415302796582,0.0858904887833993
"Ouratea_parviflora",0.28486204727873,0.0118837770444553
"Ouratea_salicifolia",0.380672872062512,0.203261037121517
"Ouratea_vaccinioides",0.217406830296843,0.00329133691460931
"Pachystroma_longifolium",0.279740462512469,0.043639110243487
"Palicourea_sessilis",0.374524615581857,0.104749060298482
"Palicourea_tenerior",0.273903101311847,0.120623276125185
